SwitchCase-4-0,26,"['closure-compiler-60', 'closure-compiler-19', 'closure-compiler-49', 'closure-compiler-119', 'closure-compiler-3', 'closure-compiler-85', 'closure-compiler-80', 'closure-compiler-94']"
ReturnStatement-10-0,12,['mockito-6']
ExpressionStatement-4-2,10,"['closure-compiler-68', 'commons-lang-59', 'commons-math-64', 'mockito-2', 'commons-math-72', 'commons-lang-46', 'commons-lang-43']"
ExpressionStatement-5-7,10,"['commons-lang-8', 'closure-compiler-133', 'commons-math-31', 'commons-math-64']"
ReturnStatement-4-0,10,"['mockito-35', 'mockito-21', 'joda-time-26', 'commons-math-70', 'mockito-25']"
IfStatement-6-15,10,"['joda-time-3', 'commons-lang-65']"
ExpressionStatement-6-31,9,['commons-lang-13']
VariableDeclarationStatement-8-12,9,"['commons-lang-30', 'commons-lang-31', 'closure-compiler-97']"
VariableDeclarationStatement-7-0,8,"['commons-lang-65', 'closure-compiler-84', 'closure-compiler-88', 'closure-compiler-16', 'closure-compiler-91', 'commons-lang-8', 'closure-compiler-43', 'closure-compiler-122']"
ReturnStatement-2-2,7,"['closure-compiler-86', 'commons-lang-51', 'closure-compiler-87', 'commons-lang-36', 'jfreechart-6', 'mockito-33', 'commons-lang-40']"
VariableDeclarationStatement-5-4,6,"['commons-lang-65', 'commons-lang-10', 'closure-compiler-115', 'closure-compiler-116', 'closure-compiler-45', 'commons-math-84']"
ThrowStatement-4-1,5,"['commons-math-66', 'commons-math-51', 'commons-math-38', 'mockito-1']"
ExpressionStatement-4-3,5,"['joda-time-23', 'closure-compiler-65']"
VariableDeclarationStatement-7-4,5,"['commons-lang-65', 'joda-time-13', 'closure-compiler-81', 'closure-compiler-100', 'commons-lang-40']"
ExpressionStatement-9-14,5,"['commons-math-81', 'jfreechart-2']"
VariableDeclarationStatement-4-0,5,"['closure-compiler-92', 'jfreechart-11', 'commons-math-83', 'closure-compiler-93']"
VariableDeclarationStatement-5-7,5,"['commons-lang-1', 'commons-math-56', 'commons-math-31', 'commons-math-92']"
ExpressionStatement-12-12,4,['commons-lang-63']
VariableDeclarationStatement-5-42,4,['commons-math-49']
VariableDeclarationStatement-8-21,4,['joda-time-17']
ExpressionStatement-9-47,4,['jfreechart-21']
ExpressionStatement-5-3,4,"['commons-math-44', 'closure-compiler-66', 'jfreechart-22', 'commons-lang-10']"
IfStatement-3-1,4,"['commons-math-82', 'commons-math-85', 'joda-time-19', 'jfreechart-1']"
FieldDeclaration-6-0,4,"['closure-compiler-16', 'commons-lang-8', 'mockito-23']"
ExpressionStatement-5-65,4,['joda-time-23']
ReturnStatement-10-1,3,['mockito-6']
FieldDeclaration-2-1,3,"['closure-compiler-15', 'closure-compiler-111', 'commons-lang-32']"
VariableDeclarationStatement-2-3,3,"['commons-math-79', 'commons-math-57']"
IfStatement-4-8,3,"['closure-compiler-63', 'closure-compiler-62', 'closure-compiler-73']"
ReturnStatement-6-17,3,"['commons-math-46', 'commons-math-47']"
VariableDeclarationStatement-5-0,3,"['jfreechart-21', 'jfreechart-6']"
IfStatement-4-5,3,"['closure-compiler-40', 'closure-compiler-24', 'closure-compiler-11']"
EnhancedForStatement-12-1,3,"['commons-math-44', 'commons-math-7']"
IfStatement-12-11,3,['commons-math-43']
IfStatement-5-1,3,"['commons-math-87', 'commons-lang-50']"
VariableDeclarationStatement-14-1,3,['commons-math-55']
ReturnStatement-4-6,3,"['closure-compiler-64', 'commons-lang-46']"
ExpressionStatement-4-1,3,"['closure-compiler-49', 'commons-lang-38', 'closure-compiler-108']"
ExpressionStatement-2-1,3,"['closure-compiler-101', 'commons-math-31', 'closure-compiler-25']"
ExpressionStatement-10-17,3,"['commons-math-35', 'jfreechart-12']"
ExpressionStatement-4-9,3,"['closure-compiler-70', 'commons-lang-46']"
ExpressionStatement-4-4,3,"['commons-math-66', 'mockito-26']"
VariableDeclarationStatement-10-12,3,['commons-lang-65']
VariableDeclarationStatement-10-0,3,"['closure-compiler-16', 'closure-compiler-3', 'mockito-31']"
VariableDeclarationStatement-10-20,3,['closure-compiler-76']
ExpressionStatement-3-1,3,"['commons-math-31', 'commons-math-65']"
ExpressionStatement-2-0,3,"['mockito-23', 'commons-math-64']"
IfStatement-9-16,3,"['commons-math-53', 'closure-compiler-76', 'closure-compiler-88']"
ReturnStatement-2-0,3,"['mockito-33', 'mockito-21', 'closure-compiler-87']"
IfStatement-10-50,2,['commons-math-37']
IfStatement-6-6,2,['jfreechart-25']
IfStatement-12-36,2,['commons-lang-62']
IfStatement-6-21,2,"['closure-compiler-15', 'closure-compiler-5']"
IfStatement-54-0,2,['joda-time-6']
IfStatement-10-1,2,['commons-lang-47']
IfStatement-10-4,2,['jfreechart-19']
IfStatement-10-13,2,"['commons-math-93', 'commons-math-92']"
IfStatement-26-0,2,['commons-math-16']
IfStatement-19-1,2,['commons-lang-1']
IfStatement-2-1,2,['closure-compiler-4']
ExpressionStatement-9-3,2,['jfreechart-3']
