jfreechart,1,"['expLogicMod', 'singleLine']",['condExpMod'],jfreechart-1,"[('IfStatement-3-1-0', 4)]",Dissection
closure-compiler,3,"['condBlockOthersAdd', 'condBlockRetAdd']","['assignAdd', 'condBranCaseAdd', 'condBranIfAdd', 'condExpMod', 'mcAdd', 'mcParAdd', 'mcRepl', 'mdParAdd', 'retBranchAdd', 'varAdd']",closure-compiler-3,"[('SwitchCase-4-0-0', 25)]",Dissection
closure-compiler,10,"['singleLine', 'wrongMethodRef']","['mcRepl', 'retExpChange']",closure-compiler-10,"[('ReturnStatement-3-2-0', 2)]",Dissection
closure-compiler,16,['wrapsMethod'],"['assignAdd', 'mcAdd', 'mcParAdd', 'mcParValChange', 'mcRepl', 'mdParAdd', 'objInstMod', 'varAdd']",closure-compiler-16,"[('VariableDeclarationStatement-7-0-0', 4), ('FieldDeclaration-6-0-0', 2)]",Fixminer
closure-compiler,19,['condBlockOthersAdd'],['condBranCaseAdd'],closure-compiler-19,"[('SwitchCase-4-0-0', 25)]",Equal
closure-compiler,26,['condBlockRetAdd'],"['assignAdd', 'condBranIfAdd', 'mcAdd', 'retBranchAdd', 'varAdd']",closure-compiler-26,"[('ExpressionStatement-5-1-0', 2)]",Equal
closure-compiler,43,"['condBlockOthersAdd', 'missNullCheckN', 'missNullCheckP', 'wrapsIfElse']","['assignAdd', 'condBranIfAdd', 'condBranIfElseAdd', 'loopAdd', 'mcAdd', 'varAdd']",closure-compiler-43,"[('VariableDeclarationStatement-7-0-10', 1)]",Dissection
closure-compiler,49,"['condBlockOthersAdd', 'condBlockRem']","['assignAdd', 'assignRem', 'condBranCaseAdd', 'condBranRem', 'loopAdd', 'loopRem', 'mcAdd', 'mcRem', 'varAdd', 'varRem']",closure-compiler-49,"[('SwitchCase-4-0-0', 25)]",Dissection
closure-compiler,62,"['expLogicMod', 'singleLine']",['condExpMod'],closure-compiler-62,"[('IfStatement-4-8-0', 3)]",Dissection
closure-compiler,60,"['condBlockRetAdd', 'wrapsIf']","['condBranCaseAdd', 'condBranIfAdd', 'mcAdd', 'retBranchAdd']",closure-compiler-60,"[('SwitchCase-4-0-0', 25)]",Dissection
closure-compiler,63,"['expLogicMod', 'singleLine']",['condExpMod'],closure-compiler-63,"[('IfStatement-4-8-0', 3)]",Dissection
closure-compiler,64,['expLogicExpand'],"['mcParAdd', 'mcParValChange', 'mcRepl', 'mdParAdd', 'retExpChange']",closure-compiler-64,"[('ExpressionStatement-3-0-0', 1)]",Equal
closure-compiler,73,"['expLogicMod', 'singleLine']",['condExpMod'],closure-compiler-73,"[('IfStatement-4-8-0', 3)]",Dissection
closure-compiler,74,"['condBlockRetAdd', 'copyPaste', 'wrongMethodRef']","['assignAdd', 'assignExpChange', 'condBranCaseAdd', 'condBranIfAdd', 'mcAdd', 'mcRepl', 'mdAdd', 'retBranchAdd', 'varAdd']",closure-compiler-74,"[('VariableDeclarationStatement-6-1-1', 2)]",Dissection
closure-compiler,68,"['codeMove', 'copyPaste', 'unwrapIfElse']",['mcAdd'],closure-compiler-68,"[('ExpressionStatement-4-2-0', 4)]",Dissection
closure-compiler,80,['expLogicExpand'],['condBranCaseAdd'],closure-compiler-80,"[('SwitchCase-4-0-0', 25)]",Equal
closure-compiler,85,"['condBlockOthersAdd', 'condBlockRem', 'missNullCheckN', 'unwrapMethod']","['assignAdd', 'assignRem', 'condBranIfElseAdd', 'condBranRem', 'loopAdd', 'mcAdd', 'mcRem', 'retRem', 'varRem']",closure-compiler-85,"[('SwitchCase-4-0-1', 1)]",Dissection
closure-compiler,84,"['condBlockOthersAdd', 'condBlockRetAdd']","['assignAdd', 'condBranCaseAdd', 'condBranIfAdd', 'mcAdd', 'mdAdd', 'retBranchAdd', 'varAdd']",closure-compiler-84,"[('VariableDeclarationStatement-7-0-0', 4)]",Dissection
closure-compiler,88,['condBlockRetAdd'],"['assignAdd', 'condBranIfAdd', 'mcAdd', 'retBranchAdd', 'varAdd']",closure-compiler-88,"[('VariableDeclarationStatement-7-0-1', 2)]",Equal
closure-compiler,94,"['condBlockRetAdd', 'expLogicExpand']","['condBranCaseAdd', 'mcAdd', 'retBranchAdd']",closure-compiler-94,"[('SwitchCase-4-0-0', 25)]",Dissection
closure-compiler,91,"['condBlockOthersAdd', 'condBlockRetAdd']","['assignAdd', 'condBranIfAdd', 'mcAdd', 'retBranchAdd', 'varAdd']",closure-compiler-91,"[('VariableDeclarationStatement-7-0-1', 2)]",Dissection
closure-compiler,119,"['expLogicExpand', 'singleLine']",['condBranCaseAdd'],closure-compiler-119,"[('SwitchCase-4-0-0', 25)]",Dissection
closure-compiler,122,['expLogicMod'],"['assignAdd', 'condExpMod', 'mcAdd', 'mcRem', 'varAdd']",closure-compiler-122,"[('VariableDeclarationStatement-7-0-7', 1)]",Equal
commons-lang,8,[],"['assignAdd', 'assignRem', 'mcAdd', 'varAdd', 'varRem']",commons-lang-8,"[('VariableDeclarationStatement-7-0-0', 4), ('FieldDeclaration-6-0-2', 1)]",Fixminer
commons-lang,13,"['condBlockExcAdd', 'condBlockRetAdd', 'wrapsTryCatch']","['assignAdd', 'condBranIfElseAdd', 'exThrowsAdd', 'exTryCatchAdd', 'mcAdd', 'objInstAdd', 'retBranchAdd', 'varAdd']",commons-lang-13,"[('FieldDeclaration-20-0-0', 1)]",Dissection
commons-lang,43,['singleLine'],['mcAdd'],commons-lang-43,"[('ExpressionStatement-4-2-0', 4)]",Equal
commons-lang,46,['wrapsIf'],"['condBranIfAdd', 'mcParAdd', 'mcRepl', 'mdParAdd', 'retExpChange']",commons-lang-46,"[('ExpressionStatement-4-2-1', 1)]",Equal
commons-lang,50,"['condBlockRem', 'copyPaste', 'expLogicMod', 'unwrapIfElse']","['assignAdd', 'assignRem', 'condBranRem', 'condExpMod', 'mcAdd', 'mcRem', 'objInstAdd', 'objInstRem']",commons-lang-50,"[('IfStatement-5-1-0', 3)]",Dissection
commons-lang,56,[],"['mcAdd', 'mdAdd', 'mdOverride', 'varModChange']",commons-lang-56,"[('FieldDeclaration-2-0-0', 2)]",Fixminer
commons-lang,59,"['singleLine', 'wrongVarRef']","['mcParValChange', 'varReplVar']",commons-lang-59,"[('ExpressionStatement-4-2-2', 5)]",Dissection
commons-lang,65,"['condBlockOthersAdd', 'condBlockRetAdd', 'wrapsIf']","['assignAdd', 'condBranIfAdd', 'mcAdd', 'retBranchAdd', 'varAdd']",commons-lang-65,"[('VariableDeclarationStatement-7-0-0', 4)]",Dissection
