SwitchCase-4-0-0,24,"['closure-compiler.git-3', 'closure-compiler.git-19', 'closure-compiler.git-80', 'closure-compiler.git-94', 'closure-compiler.git-119', 'closure-compiler.git-49']"
IfStatement-1-0-0,9,"['commons-lang.git-53', 'closure-compiler.git-117', 'commons-lang.git-50', 'closure-compiler.git-11', 'commons-math.git-52', 'closure-compiler.git-40']"
VariableDeclarationStatement-7-0-1,7,"['commons-lang.git-65', 'commons-lang.git-8', 'closure-compiler.git-2', 'mockito.git-33', 'closure-compiler.git-84', 'closure-compiler.git-16']"
VariableDeclarationStatement-4-0-0,6,"['closure-compiler.git-87', 'closure-compiler.git-92', 'closure-compiler.git-88', 'closure-compiler.git-93']"
BreakStatement-1-0-0,5,"['closure-compiler.git-19', 'commons-lang.git-52', 'closure-compiler.git-77', 'closure-compiler.git-49']"
VariableDeclarationStatement-9-6-0,4,"['commons-math.git-40', 'commons-math.git-38']"
ReturnStatement-2-0-0,4,"['commons-math.git-23', 'closure-compiler.git-84', 'commons-math.git-36']"
ExpressionStatement-1-0-0,4,"['commons-math.git-7', 'commons-lang.git-63', 'commons-math.git-52']"
ExpressionStatement-1-0-1,4,['commons-math.git-63']
ThrowStatement-4-1-0,3,"['mockito.git-1', 'commons-math.git-38']"
FieldDeclaration-3-0-0,3,"['commons-lang.git-32', 'closure-compiler.git-16']"
ExpressionStatement-4-0-3,3,"['closure-compiler.git-68', 'commons-lang.git-43']"
ExpressionStatement-4-0-0,3,"['commons-lang.git-59', 'commons-math.git-72']"
VariableDeclarationStatement-7-0-2,3,"['closure-compiler.git-88', 'closure-compiler.git-91', 'closure-compiler.git-36']"
IfStatement-4-1-0,3,"['closure-compiler.git-24', 'closure-compiler.git-11', 'closure-compiler.git-40']"
VariableDeclarationStatement-6-3-0,3,['commons-math.git-52']
SwitchCase-2-0-2,3,['closure-compiler.git-32']
VariableDeclarationStatement-1-0-0,3,"['closure-compiler.git-117', 'commons-math.git-47']"
MethodDeclaration-2-1-0,3,"['closure-compiler.git-87', 'closure-compiler.git-88', 'closure-compiler.git-10']"
MethodDeclaration-4-0-0,2,['commons-lang.git-46']
IfStatement-12-7-0,2,['commons-lang.git-62']
EnhancedForStatement-12-0-0,2,['commons-math.git-44']
BreakStatement-1-0-3,2,['closure-compiler.git-49']
FieldDeclaration-8-2-0,2,"['commons-math.git-12', 'commons-lang.git-23']"
ExpressionStatement-20-0-0,2,['commons-math.git-52']
ThrowStatement-10-1-0,2,['mockito.git-4']
ExpressionStatement-1-0-6,2,"['commons-math.git-63', 'closure-compiler.git-68']"
FieldDeclaration-1-0-0,2,['commons-math.git-38']
ExpressionStatement-1-0-8,2,['commons-math.git-51']
ExpressionStatement-1-0-2,2,['commons-lang.git-50']
ThrowStatement-11-0-0,2,['mockito.git-4']
IfStatement-3-2-0,2,['commons-lang.git-20']
FieldDeclaration-2-0-0,2,['commons-lang.git-56']
ReturnStatement-2-0-3,2,"['commons-math.git-5', 'commons-math.git-31']"
VariableDeclarationStatement-7-0-3,2,"['closure-compiler.git-87', 'commons-math.git-52']"
ReturnStatement-2-0-1,2,"['commons-math.git-91', 'commons-lang.git-35']"
ReturnStatement-2-0-4,2,"['commons-math.git-95', 'commons-math.git-9']"
